avgRSRP,towers,RSSI,drone,avgRSRQ
-95,3,-63,0,-12.33333333
-88,4,-57,0,-13
-86.25,4,-53,0,-12.75
-86.25,4,-51,0,-12
-82,3,-55,0,-12.33333333
-93.25,4,-55,0,-14.5
-91.6,5,-51,0,-14.2
-90.5,6,-59,0,-14.33333333
-93.66666667,6,-59,0,-13.83333333
-95.28571429,7,-51,0,-14.57142857
-95.83333333,6,-55,0,-13.83333333
-97.16666667,6,-55,0,-14.16666667
-94.5,8,-55,0,-15.125
-97.25,8,-59,0,-14.875
-97.5,4,-61,0,-14.5
-97.4,5,-51,0,-15
-96.8,5,-61,0,-15
-90.33333333,3,-53,0,-15.33333333
-87.33333333,3,-51,0,-13
-85.66666667,3,-51,0,-13
-83.5,4,-51,0,-11.25
-92,5,-51,0,-15.4
-95.66666667,6,-51,0,-14
-91.83333333,6,-61,0,-13.16666667
-91.4,5,-59,0,-12.4
-91.25,4,-57,0,-12.75
-89.25,4,-55,0,-15.5
-87.5,4,-51,0,-15
-90.75,4,-53,0,-14.75
-94,5,-53,0,-14.8
-93.4,5,-57,0,-14.6
-91.5,4,-53,0,-15
-92,4,-57,0,-13.75
-96.8,5,-51,0,-15.6
-99.28571429,7,-63,0,-17.71428571
-97.5,6,-51,0,-16.5
-93.16666667,6,-51,0,-16.16666667
-96.4,5,-51,0,-18.2
-95.8,5,-51,0,-17
-96.8,5,-51,0,-17
-88.5,2,-55,0,-13.5
-89.5,2,-55,0,-14
-92,3,-53,0,-16
-92,3,-51,0,-14
-89,2,-55,0,-11.5
-89.5,2,-55,0,-12.5
-88,2,-55,0,-12.5
-89.5,2,-51,0,-12.5
-89.5,2,-51,0,-12
-91,3,-55,0,-13.66666667
-87,3,-51,0,-15.33333333
-88.33333333,3,-51,0,-14.66666667
-87.5,2,-55,0,-13
-90.5,4,-53,0,-14.75
-90.66666667,3,-53,0,-14.33333333
-86,2,-53,0,-16.5
-89,4,-51,0,-16
-91.75,4,-53,0,-14.5
-89.5,2,-53,0,-12.5
-90,2,-53,0,-15
-81,5,-51,1,-14.6
-81.6,5,-53,1,-15
-81.4,5,-51,1,-13.4
-81.8,5,-51,1,-14.2
-81.6,5,-55,1,-14.6
-78.4,5,-51,1,-15.2
-77.5,4,-51,1,-13.5
-82.2,5,-51,1,-15.4
-80.8,5,-51,1,-14.4
-82.16666667,6,-51,1,-15
-84.8,5,-51,1,-15.2
-85.75,4,-51,1,-16
-82.66666667,6,-51,1,-16.16666667
-79.25,4,-51,1,-13.75
-79.4,5,-51,1,-17
-76.28571429,7,-51,1,-16.14285714
-82.71428571,7,-51,1,-15
-80.33333333,3,-51,1,-16
-81,4,-51,1,-17.75
-70.6,5,-51,1,-13.8
-70.33333333,3,-51,1,-12.33333333
-85.5,4,-51,1,-17.5
-89.4,5,-51,1,-18
-86.83333333,6,-51,1,-16.66666667
-89.4,5,-55,1,-16.8
-86.25,4,-51,1,-16.75
-88.8,5,-51,1,-16.4
-88,5,-51,1,-16.8
-85.75,4,-53,1,-16.5
-88,4,-51,1,-17.75
-87.25,4,-53,1,-17
-89.33333333,6,-51,1,-16.5
-86.5,4,-51,1,-15.25
-87.2,5,-51,1,-16.4
-86,6,-51,1,-15.5
-88.66666667,6,-51,1,-16.5
-83.25,4,-51,1,-16
-84.6,5,-51,1,-17.4
-84.33333333,6,-51,1,-15.5
-87.57142857,7,-51,1,-16
-88,7,-51,1,-16.85714286
-87.57142857,7,-51,1,-16.71428571
-86.85714286,7,-51,1,-16.57142857
-87.16666667,6,-51,1,-16.16666667
-84.28571429,7,-51,1,-15.14285714
-85.33333333,6,-51,1,-15.5
-86.71428571,7,-51,1,-17.42857143
-86.57142857,7,-51,1,-17.14285714
-87.28571429,7,-51,1,-17.14285714
-86.85714286,7,-51,1,-16
-85.85714286,7,-51,1,-17.14285714
-85.875,8,-51,1,-15.5
-86.75,8,-51,1,-16.5
-87,8,-51,1,-17.75
-87.14285714,7,-51,1,-17.85714286
-85.875,8,-51,1,-16.5
-87.42857143,7,-51,1,-17.28571429
-86,7,-51,1,-15.85714286
-84.83333333,6,-51,1,-19
-78.33333333,6,-51,1,-16.33333333
-86.14285714,7,-51,0,-15.28571429
-91.42857143,7,-57,0,-13.71428571
-96.88888889,9,-59,0,-14.77777778
-101.3333333,9,-69,0,-15
-101.375,8,-65,0,-13.75
-101.5,8,-67,0,-14.75
-92.25,4,-61,0,-13.75
-99,6,-63,0,-14.5
-97.83333333,6,-59,0,-13.83333333
-96.5,6,-67,0,-13.83333333
-96.33333333,6,-65,0,-14.33333333
-94.66666667,6,-59,0,-14.33333333
-96.33333333,6,-57,0,-14.16666667
-96.71428571,7,-63,0,-14.28571429
-95.83333333,6,-61,0,-14.16666667
-96.66666667,6,-61,0,-13.5
-96.66666667,6,-59,0,-13.66666667
-95.16666667,6,-61,0,-14
-94.16666667,6,-59,0,-14.16666667
-88.6,5,-57,0,-14.6
-92.66666667,6,-59,0,-13.5
-97.625,8,-63,0,-14.5
-97.625,8,-67,0,-14.125
-96.16666667,6,-61,0,-14.33333333
-96.28571429,7,-61,0,-14.28571429
-95.375,8,-61,0,-14.625
-99.14285714,7,-69,0,-14.42857143
-96.66666667,6,-69,0,-13.5
-95.66666667,6,-65,0,-13.66666667
-94.83333333,6,-63,0,-13.16666667
-96,7,-63,0,-14.28571429
-97.71428571,7,-63,0,-14.28571429
-95.57142857,7,-59,0,-13.71428571
-95.125,8,-59,0,-13.875
-94.42857143,7,-63,0,-14
-94.16666667,6,-65,0,-14.66666667
-94.5,6,-61,0,-14.33333333
-99,4,-55,0,-15
-95.25,4,-59,0,-15.75
-86.5,2,-51,0,-12
-88.5,2,-59,0,-11.5
-93,3,-61,0,-14.66666667
-98.66666667,3,-61,0,-15
-98.2,5,-63,0,-15.6
-97.85714286,7,-59,0,-15
-97,7,-63,0,-15.57142857
-99,5,-59,0,-16.8
-98.11111111,9,-63,0,-14.77777778
-102.8,5,-67,0,-16.2
-101.5,8,-63,0,-14.5
-100,7,-65,0,-14.42857143
-96.8,5,-61,0,-15
-97.8,5,-61,0,-14
-98,5,-63,0,-13
-98.4,5,-61,0,-15.2
-101.6,5,-57,0,-14.2
-103.6,5,-67,0,-15.2
-102.4,5,-69,0,-14.8
-100.5,4,-67,0,-14.5
-98.25,4,-69,0,-14
-100,4,-57,0,-14.75
-97,4,-61,0,-13.75
-95,3,-61,0,-12
-97,3,-63,0,-13.66666667
-98,3,-63,0,-12.66666667
-97.5,4,-63,0,-13.5
-98,4,-63,0,-14.25
-95.33333333,3,-55,0,-12.33333333
-95,3,-51,0,-12
-95.66666667,3,-59,0,-12.66666667
-94.66666667,3,-57,0,-13
-97.75,4,-61,0,-14.25
-97.5,4,-61,0,-15.25
-97.25,4,-63,0,-15.5
-95.75,4,-57,0,-15
-92.33333333,3,-51,0,-13.33333333
-94.75,4,-51,0,-14.75
-95.75,4,-55,0,-14.25
-96.66666667,3,-59,0,-14.33333333
-95,3,-61,0,-13.33333333
-95.33333333,3,-59,0,-13.33333333
-95.5,4,-59,0,-14.75
-92.5,4,-57,0,-13.5
-92.33333333,3,-55,0,-12.33333333
-93.66666667,3,-55,0,-12
-96,3,-61,0,-13
-96,3,-63,0,-13.33333333
-96.5,4,-61,0,-13.5
-96,4,-61,0,-12.75
-95.33333333,3,-57,0,-12.33333333
-96,3,-57,0,-14
-97.75,4,-63,0,-14
-95.75,4,-61,0,-13.25
-94.66666667,3,-61,0,-12.33333333
-95,3,-55,0,-14
-94.33333333,3,-53,0,-14
-95.5,4,-55,0,-14.5
-95.4,5,-57,0,-14.4
-96.66666667,6,-57,0,-14.66666667
-97.2,5,-61,0,-13.8
-83.5,2,-51,0,-14
-83.5,2,-51,0,-13.5
-83.5,2,-51,0,-14
-83.5,2,-51,0,-14
-83.5,2,-51,0,-13.5
-88,2,-51,0,-12.5
-89,2,-51,0,-14
-90.5,2,-53,0,-14
-90,2,-53,0,-14
-88,2,-55,0,-13.5
-83.5,2,-53,0,-14
-87.5,2,-53,0,-14.5
-85,1,-51,0,-8
-75,1,-51,0,-9
-59,2,-51,0,-5.5
-56.5,2,-51,0,-5.5
-91.5,2,-55,0,-13
-87,2,-51,0,-13
-82,2,-51,0,-12.5
-94,2,-51,0,-13.5
-62.33333333,3,-51,1,-12
-64.125,8,-51,1,-14.75
-63.42857143,7,-51,1,-15.28571429
-64.125,8,-51,1,-15.875
-63.75,8,-51,1,-15.375
-64.625,8,-51,1,-15.375
-63.5,8,-51,1,-15.625
-63.375,8,-51,1,-15.25
-63.875,8,-51,1,-15.875
-67.83333333,6,-51,1,-15
-66.83333333,6,-51,1,-14.5
-67.66666667,6,-51,1,-15.5
-68.16666667,6,-51,1,-14.83333333
-66.71428571,7,-51,1,-15.14285714
-65.66666667,6,-51,1,-15.16666667
-64.66666667,6,-51,1,-16.16666667
-65,5,-51,1,-16
-55.25,4,-51,1,-15.25
-55.25,4,-51,1,-15.25
-64.8,5,-51,1,-13.4
-63.25,4,-51,1,-14.25
-64.75,4,-51,1,-14.25
-65.25,4,-51,1,-14.75
-62,5,-51,1,-14.8
-65.8,5,-51,1,-14.2
-63.2,5,-51,1,-13.8
-56.25,4,-51,1,-14.75
-57,4,-51,1,-16
-68.6,5,-51,1,-14.8
-66.2,5,-51,1,-14.4
-66.4,5,-51,1,-14.4
-66.6,5,-51,1,-14.8
-83.66666667,6,-51,1,-17
-84.66666667,3,-51,1,-17.66666667
-83,3,-51,1,-17
-84.5,6,-51,1,-17.66666667
-83.83333333,6,-51,1,-17.16666667
-75.5,6,-51,1,-17.16666667
-82,5,-51,1,-17.4
-75.57142857,7,-51,1,-16.85714286
-59.33333333,6,-51,1,-9.666666667
-67,4,-51,1,-12.75
-82.25,4,-51,1,-19
-80.57142857,7,-51,1,-17.57142857
-72,5,-51,1,-15
-79,6,-51,1,-16.33333333
