"RSSI, Delt RSRP, Std Dev RSRP, Lat, Long, Altitude, Speed, Classification, Time Elasped"
-51,-33,15.553287816560262,4739.5945N,12206.3788W,27.9,12.1,1,15.017749914999968
-51,-33,15.553287816560262,4739.5833N,12206.3719W,30.9,5.5,1,30.035291371999847
-51,1,2.760262237369417,4739.5906N,12206.3810W,26.5,12.6,1,45.048127914999895
-51,-2,2.340126166724879,4739.5898N,12206.3799W,32.9,7.5,1,60.06569625899965
-51,-3,2.581988897471611,4739.5927N,12206.3796W,26.8,5.8,1,75.08330900800001
-51,-4,2.280350850198276,4739.5816N,12206.3833W,26.0,15.9,1,90.10081061399978
-51,-2,3.265986323710904,4739.5951N,12206.3822W,22.1,8.5,1,105.11407332399995
-51,-1,2.0701966780270626,4739.5814N,12206.3760W,70.1,8.3,1,120.13175851100004
-51,-4,1.4142135623730951,4739.5929N,12206.3692W,59.7,8.3,1,135.1493459989997
-51,-31,12.380139625337717,4739.5919N,12206.3753W,38.4,2.9,1,150.167851102
-51,-29,12.380139625337717,4739.5953N,12206.3899W,43.4,16.1,1,165.18386596799974
-51,-31,12.380139625337717,4739.5948N,12206.3922W,36.7,12.4,1,180.20148410699994
-51,-29,12.380139625337717,4739.6022N,12206.3833W,31.3,9.8,1,195.22283085799972
-51,3,3.6742346141747673,4739.6128N,12206.3897W,22.4,9.9,1,210.24391254500006
-51,2,2.4083189157584592,4739.6050N,12206.3808W,17.9,10.9,1,225.2632991319997
-51,1,2.2886885410853175,4739.5954N,12206.4058W,27.2,10.5,1,240.28189058399994
-51,0,1.378404875209022,4739.6114N,12206.4087W,20.6,4.0,1,255.30280397499973
-51,-2,2.48327740429189,4739.6085N,12206.3958W,27.0,12.2,1,270.32445784599986
-51,0,4.658325879540846,4739.6029N,12206.3840W,30.4,2.6,1,285.3456839969999
-51,-8,3.4351128074635335,4739.6035N,12206.3831W,37.2,1.8,1,300.36730616999967
-51,-1,3.2506409624359724,4739.5917N,12206.3838W,32.8,1.9,1,315.38844242000005
-51,-3,2.949576240750525,4739.5923N,12206.3834W,33.4,2.3,1,330.40961047699966
-51,3,4.6475800154489,4739.6111N,12206.3842W,19.5,1.6,1,345.4243938489999
-51,0,3.8340579025361627,4739.5961N,12206.3827W,25.3,9.6,1,360.44185520999963
-51,-29,13.704361488574497,4739.6055N,12206.3861W,34.3,2.1,1,375.45950214999993
-51,-2,3.0605010483034745,4739.5922N,12206.3813W,58.3,6.8,1,390.47712268099986
-51,0,2.2253945610567474,4739.5838N,12206.3775W,70.8,7.8,1,405.49479994299963
-51,-1,5.176871642217914,4739.5949N,12206.3995W,51.0,7.7,1,420.5092412549998
-51,0,0.8944271909999159,4739.5795N,12206.3789W,48.2,1.0,1,435.5268372209998
-51,1,1.4832396974191324,4739.6113N,12206.3893W,32.3,7.3,1,450.544431196
-51,-33,13.589211407093005,4739.6019N,12206.3807W,28.2,26.0,1,465.56206357999963
-51,-39,14.264174237111192,4739.6109N,12206.3874W,45.3,2.3,1,480.5796765539999
-51,-5,1.9235384061671343,4739.5878N,12206.3722W,61.2,12.8,1,495.59729125900003
-51,-5,4.580626906564522,4739.6127N,12206.3822W,48.4,5.4,1,510.614916728
-51,-6,3.758324094593227,4739.5958N,12206.3801W,39.6,16.2,1,525.633227837
-51,-6,3.3380918415851206,4739.6108N,12206.3856W,35.0,10.9,1,540.653913567
-51,-7,4.155461122770509,4739.6018N,12206.3814W,47.0,8.3,1,555.6748433929997
-51,-32,11.36960233002268,4739.6028N,12206.3807W,46.0,24.0,1,570.6961712919997
-51,-3,1.3972762620115438,4739.6090N,12206.3786W,49.4,9.8,1,585.717329096
-51,-13,5.196152422706632,4739.6004N,12206.3734W,59.1,12.8,1,600.7365947599997
